request_id,department,urgency,corridor_id,asset_id,track_type,required_duration_minutes,earliest_start_minute,latest_end_minute,is_traffic_block_required,is_power_block_required,days_overdue,has_linked_defect,conflicting_train_count,target_priority_score
REQ-090,Signalling & Telecom,MEDIUM,COR-NDLS-GZB,AST-DLS-GZB-SNT-008,UP,60,140,315,0,0,0,0,4,32.93
REQ-091,Engineering,LOW,COR-HWH-BWN,AST-HWH-BWN-ENG-020,BOTH,180,81,302,1,0,0,0,3,43.14
REQ-092,Engineering,LOW,COR-HWH-BWN,AST-HWH-BWN-ENG-021,BOTH,120,884,1041,1,0,0,1,1,40.14
REQ-093,Traction Distribution,LOW,COR-MAS-AJJ,AST-MAS-AJJ-TRD-033,UP,240,91,413,1,1,0,0,2,42.95
REQ-094,Traction Distribution,MEDIUM,COR-NDLS-GZB,AST-DLS-GZB-TRD-004,UP,180,626,872,1,1,18,1,1,67.22
REQ-095,Traction Distribution,MEDIUM,COR-CSMT-KYN,AST-SMT-KYN-TRD-015,BOTH,60,114,223,1,1,0,0,0,45.0
REQ-096,Signalling & Telecom,CRITICAL,COR-CSMT-KYN,AST-SMT-KYN-SNT-018,DOWN,90,779,970,1,0,0,1,3,74.21
REQ-097,Signalling & Telecom,CRITICAL,COR-NDLS-GZB,AST-DLS-GZB-SNT-009,UP,240,169,510,0,0,41,1,3,91.54
REQ-098,Traction Distribution,LOW,COR-CSMT-KYN,AST-SMT-KYN-TRD-014,BOTH,240,228,586,1,1,0,0,4,51.2
REQ-099,Traction Distribution,HIGH,COR-NDLS-GZB,AST-DLS-GZB-TRD-005,UP,120,758,951,1,1,0,0,0,46.72
REQ-100,Signalling & Telecom,HIGH,COR-HWH-BWN,AST-HWH-BWN-SNT-026,DOWN,90,162,290,1,1,0,0,3,57.03
REQ-101,Traction Distribution,HIGH,COR-HWH-BWN,AST-HWH-BWN-TRD-023,DOWN,60,710,848,1,1,0,0,0,44.85
REQ-102,Signalling & Telecom,CRITICAL,COR-CSMT-KYN,AST-SMT-KYN-SNT-018,DOWN,120,139,330,1,0,0,1,1,70.78
REQ-103,Traction Distribution,HIGH,COR-NDLS-GZB,AST-DLS-GZB-TRD-005,UP,60,218,314,1,1,0,0,3,54.25
REQ-104,Engineering,CRITICAL,COR-CSMT-KYN,AST-SMT-KYN-ENG-010,UP,120,168,380,1,0,36,1,1,94.16
REQ-105,Engineering,MEDIUM,COR-NDLS-GZB,AST-DLS-GZB-ENG-001,DOWN,180,191,415,1,0,13,1,3,61.94
REQ-106,Signalling & Telecom,HIGH,COR-MAS-AJJ,AST-MAS-AJJ-SNT-034,UP,120,903,1115,1,0,0,0,0,40.16
REQ-107,Engineering,HIGH,COR-NDLS-GZB,AST-DLS-GZB-ENG-003,UP,180,628,838,1,1,0,0,1,52.57
REQ-108,Signalling & Telecom,HIGH,COR-NDLS-GZB,AST-DLS-GZB-SNT-008,UP,90,748,909,1,1,0,0,0,48.09
REQ-109,Engineering,MEDIUM,COR-CSMT-KYN,AST-SMT-KYN-ENG-012,BOTH,90,196,406,1,1,0,0,1,47.29
REQ-110,Signalling & Telecom,LOW,COR-NDLS-GZB,AST-DLS-GZB-SNT-007,BOTH,120,70,275,0,1,0,0,4,42.35
REQ-111,Traction Distribution,MEDIUM,COR-MAS-AJJ,AST-MAS-AJJ-TRD-033,UP,240,163,523,1,1,0,0,4,52.17
REQ-112,Engineering,MEDIUM,COR-HWH-BWN,AST-HWH-BWN-ENG-019,DOWN,60,143,254,1,0,0,0,3,41.41
REQ-113,Engineering,MEDIUM,COR-NDLS-GZB,AST-DLS-GZB-ENG-001,DOWN,240,236,552,1,1,13,1,2,66.99
REQ-114,Engineering,MEDIUM,COR-NDLS-GZB,AST-DLS-GZB-ENG-001,DOWN,60,210,351,1,0,13,1,3,58.16
REQ-115,Traction Distribution,MEDIUM,COR-CSMT-KYN,AST-SMT-KYN-TRD-013,DOWN,120,713,905,1,1,0,0,2,46.75
REQ-116,Engineering,LOW,COR-HWH-BWN,AST-HWH-BWN-ENG-021,BOTH,60,89,246,1,0,0,1,2,38.82
REQ-117,Engineering,MEDIUM,COR-CSMT-KYN,AST-SMT-KYN-ENG-011,DOWN,120,225,393,1,1,0,1,1,53.64
REQ-118,Traction Distribution,HIGH,COR-MAS-AJJ,AST-MAS-AJJ-TRD-033,UP,120,214,383,1,1,0,0,2,52.6
REQ-119,Engineering,LOW,COR-MAS-AJJ,AST-MAS-AJJ-ENG-029,BOTH,60,220,373,1,0,0,1,1,36.42
REQ-120,Signalling & Telecom,LOW,COR-HWH-BWN,AST-HWH-BWN-SNT-027,BOTH,240,204,556,1,0,0,0,6,50.32
REQ-121,Signalling & Telecom,LOW,COR-CSMT-KYN,AST-SMT-KYN-SNT-016,BOTH,120,77,287,1,0,0,0,1,36.71
REQ-122,Signalling & Telecom,CRITICAL,COR-NDLS-GZB,AST-DLS-GZB-SNT-009,UP,120,150,364,1,1,41,1,4,100.0
REQ-123,Signalling & Telecom,HIGH,COR-CSMT-KYN,AST-SMT-KYN-SNT-016,BOTH,60,133,232,0,0,0,0,0,34.56
REQ-124,Signalling & Telecom,HIGH,COR-MAS-AJJ,AST-MAS-AJJ-SNT-034,UP,240,158,487,0,0,0,0,3,39.29
REQ-125,Signalling & Telecom,LOW,COR-CSMT-KYN,AST-SMT-KYN-SNT-016,BOTH,60,206,379,1,1,0,0,1,42.47
REQ-126,Traction Distribution,LOW,COR-CSMT-KYN,AST-SMT-KYN-TRD-013,DOWN,90,830,963,0,1,0,0,2,32.27
REQ-127,Traction Distribution,CRITICAL,COR-HWH-BWN,AST-HWH-BWN-TRD-024,BOTH,120,643,857,1,1,26,1,1,100.0
REQ-128,Signalling & Telecom,HIGH,COR-CSMT-KYN,AST-SMT-KYN-SNT-017,UP,60,172,318,1,0,0,1,1,53.61
REQ-129,Traction Distribution,MEDIUM,COR-NDLS-GZB,AST-DLS-GZB-TRD-006,BOTH,120,798,1000,1,1,0,0,1,47.94
REQ-130,Signalling & Telecom,LOW,COR-NDLS-GZB,AST-DLS-GZB-SNT-008,UP,240,221,573,1,0,0,0,4,41.32
REQ-131,Engineering,MEDIUM,COR-CSMT-KYN,AST-SMT-KYN-ENG-011,DOWN,240,745,1047,1,0,0,1,3,51.45
REQ-132,Traction Distribution,LOW,COR-HWH-BWN,AST-HWH-BWN-TRD-023,DOWN,240,770,1050,1,1,0,0,1,41.57
REQ-133,Signalling & Telecom,HIGH,COR-NDLS-GZB,AST-DLS-GZB-SNT-008,UP,120,227,466,1,0,0,0,2,44.52
REQ-134,Engineering,LOW,COR-HWH-BWN,AST-HWH-BWN-ENG-020,BOTH,60,156,328,1,0,0,0,3,38.49
REQ-135,Signalling & Telecom,HIGH,COR-NDLS-GZB,AST-DLS-GZB-SNT-008,UP,240,231,555,1,0,0,0,3,49.41
REQ-136,Traction Distribution,MEDIUM,COR-NDLS-GZB,AST-DLS-GZB-TRD-005,UP,90,774,956,1,1,0,0,0,40.45
REQ-137,Signalling & Telecom,CRITICAL,COR-MAS-AJJ,AST-MAS-AJJ-SNT-035,UP,90,135,267,1,0,33,1,1,96.32
REQ-138,Engineering,LOW,COR-HWH-BWN,AST-HWH-BWN-ENG-021,BOTH,240,146,495,1,1,0,1,5,57.38
REQ-139,Traction Distribution,CRITICAL,COR-MAS-AJJ,AST-MAS-AJJ-TRD-031,BOTH,180,106,404,1,1,34,1,2,100.0
REQ-140,Signalling & Telecom,HIGH,COR-CSMT-KYN,AST-SMT-KYN-SNT-016,BOTH,180,153,449,0,0,0,0,1,37.08
REQ-141,Engineering,LOW,COR-MAS-AJJ,AST-MAS-AJJ-ENG-028,BOTH,120,829,1008,1,0,0,0,1,36.7
REQ-142,Engineering,MEDIUM,COR-MAS-AJJ,AST-MAS-AJJ-ENG-030,UP,120,840,1014,1,0,9,1,1,52.6
REQ-143,Engineering,LOW,COR-HWH-BWN,AST-HWH-BWN-ENG-019,DOWN,180,132,390,1,0,0,0,4,40.48
REQ-144,Signalling & Telecom,HIGH,COR-CSMT-KYN,AST-SMT-KYN-SNT-017,UP,180,702,989,1,1,0,1,3,68.77
REQ-145,Traction Distribution,LOW,COR-CSMT-KYN,AST-SMT-KYN-TRD-015,BOTH,180,883,1106,1,1,0,0,2,47.57
REQ-146,Traction Distribution,LOW,COR-CSMT-KYN,AST-SMT-KYN-TRD-014,BOTH,60,101,225,1,1,0,0,0,39.34
REQ-147,Traction Distribution,LOW,COR-MAS-AJJ,AST-MAS-AJJ-TRD-032,DOWN,90,646,794,0,1,0,0,2,31.58
REQ-148,Engineering,LOW,COR-MAS-AJJ,AST-MAS-AJJ-ENG-029,BOTH,120,812,968,1,0,0,1,1,40.19
REQ-149,Engineering,MEDIUM,COR-MAS-AJJ,AST-MAS-AJJ-ENG-030,UP,120,80,277,1,1,9,1,1,59.79
REQ-150,Signalling & Telecom,MEDIUM,COR-NDLS-GZB,AST-DLS-GZB-SNT-007,BOTH,60,932,1064,1,0,0,0,1,40.55
REQ-151,Traction Distribution,MEDIUM,COR-NDLS-GZB,AST-DLS-GZB-TRD-004,UP,120,841,1080,0,1,18,1,1,54.92
REQ-152,Signalling & Telecom,LOW,COR-CSMT-KYN,AST-SMT-KYN-SNT-016,BOTH,180,61,281,1,1,0,0,1,47.18
REQ-153,Engineering,HIGH,COR-NDLS-GZB,AST-DLS-GZB-ENG-003,UP,240,911,1248,1,0,0,0,1,43.12
REQ-154,Traction Distribution,CRITICAL,COR-HWH-BWN,AST-HWH-BWN-TRD-024,BOTH,120,91,247,1,1,26,1,2,100.0
REQ-155,Traction Distribution,CRITICAL,COR-HWH-BWN,AST-HWH-BWN-TRD-022,BOTH,240,88,421,1,1,34,1,5,100.0
REQ-156,Engineering,HIGH,COR-HWH-BWN,AST-HWH-BWN-ENG-020,BOTH,240,96,403,1,0,0,0,5,57.82
REQ-157,Traction Distribution,LOW,COR-MAS-AJJ,AST-MAS-AJJ-TRD-032,DOWN,120,166,339,1,1,0,0,1,39.94
REQ-158,Engineering,LOW,COR-MAS-AJJ,AST-MAS-AJJ-ENG-029,BOTH,60,152,250,1,0,0,1,1,38.62
REQ-159,Engineering,MEDIUM,COR-MAS-AJJ,AST-MAS-AJJ-ENG-030,UP,240,189,529,1,1,9,1,4,68.26
REQ-160,Traction Distribution,MEDIUM,COR-CSMT-KYN,AST-SMT-KYN-TRD-015,BOTH,60,155,277,1,1,0,0,1,46.92
REQ-161,Signalling & Telecom,MEDIUM,COR-CSMT-KYN,AST-SMT-KYN-SNT-016,BOTH,60,228,398,1,1,0,0,1,47.53
REQ-162,Traction Distribution,MEDIUM,COR-NDLS-GZB,AST-DLS-GZB-TRD-006,BOTH,90,199,362,0,1,0,0,3,42.52
REQ-163,Signalling & Telecom,LOW,COR-HWH-BWN,AST-HWH-BWN-SNT-025,UP,90,950,1129,1,0,3,1,0,34.43
REQ-164,Signalling & Telecom,HIGH,COR-CSMT-KYN,AST-SMT-KYN-SNT-017,UP,90,632,810,1,1,0,1,1,62.56
REQ-165,Signalling & Telecom,CRITICAL,COR-NDLS-GZB,AST-DLS-GZB-SNT-009,UP,90,761,920,0,0,41,1,0,82.66
REQ-166,Traction Distribution,CRITICAL,COR-HWH-BWN,AST-HWH-BWN-TRD-022,BOTH,240,69,421,1,1,34,1,5,100.0
REQ-167,Traction Distribution,CRITICAL,COR-MAS-AJJ,AST-MAS-AJJ-TRD-031,BOTH,120,624,857,1,1,34,1,2,100.0
REQ-168,Traction Distribution,HIGH,COR-CSMT-KYN,AST-SMT-KYN-TRD-013,DOWN,120,162,368,0,1,0,0,1,38.83
REQ-169,Engineering,MEDIUM,COR-CSMT-KYN,AST-SMT-KYN-ENG-011,DOWN,180,107,380,1,0,0,1,1,45.09
REQ-170,Traction Distribution,CRITICAL,COR-HWH-BWN,AST-HWH-BWN-TRD-024,BOTH,120,865,1049,0,1,26,1,1,91.82
REQ-171,Engineering,LOW,COR-MAS-AJJ,AST-MAS-AJJ-ENG-028,BOTH,180,214,447,1,0,0,0,3,42.73
REQ-172,Signalling & Telecom,CRITICAL,COR-CSMT-KYN,AST-SMT-KYN-SNT-018,DOWN,120,143,377,1,0,0,1,1,69.63
REQ-173,Traction Distribution,LOW,COR-CSMT-KYN,AST-SMT-KYN-TRD-013,DOWN,180,173,427,1,1,0,0,1,40.09
REQ-174,Engineering,LOW,COR-HWH-BWN,AST-HWH-BWN-ENG-020,BOTH,120,171,356,1,0,0,0,4,43.99
REQ-175,Traction Distribution,HIGH,COR-HWH-BWN,AST-HWH-BWN-TRD-023,DOWN,60,807,943,1,1,0,0,1,47.41
REQ-176,Signalling & Telecom,CRITICAL,COR-CSMT-KYN,AST-SMT-KYN-SNT-018,DOWN,90,673,870,1,0,0,1,1,69.07
REQ-177,Signalling & Telecom,CRITICAL,COR-CSMT-KYN,AST-SMT-KYN-SNT-018,DOWN,90,225,391,0,0,0,1,1,59.92
REQ-178,Engineering,HIGH,COR-HWH-BWN,AST-HWH-BWN-ENG-020,BOTH,240,175,492,1,0,0,0,5,57.57
REQ-179,Traction Distribution,CRITICAL,COR-MAS-AJJ,AST-MAS-AJJ-TRD-031,BOTH,60,195,331,1,1,34,1,1,100.0
REQ-180,Engineering,MEDIUM,COR-MAS-AJJ,AST-MAS-AJJ-ENG-030,UP,120,89,242,1,0,9,1,1,53.54
REQ-181,Signalling & Telecom,HIGH,COR-MAS-AJJ,AST-MAS-AJJ-SNT-036,UP,180,203,428,1,0,0,1,2,60.0
REQ-182,Engineering,MEDIUM,COR-MAS-AJJ,AST-MAS-AJJ-ENG-028,BOTH,90,746,954,1,0,0,0,1,39.33
REQ-183,Engineering,MEDIUM,COR-MAS-AJJ,AST-MAS-AJJ-ENG-028,BOTH,90,78,255,1,1,0,0,1,48.08
REQ-184,Signalling & Telecom,LOW,COR-CSMT-KYN,AST-SMT-KYN-SNT-016,BOTH,180,949,1199,1,0,0,0,3,43.2
REQ-185,Engineering,LOW,COR-MAS-AJJ,AST-MAS-AJJ-ENG-028,BOTH,240,136,426,1,0,0,0,2,40.78
REQ-186,Signalling & Telecom,HIGH,COR-CSMT-KYN,AST-SMT-KYN-SNT-017,UP,90,860,1008,1,1,0,1,2,66.08
REQ-187,Traction Distribution,CRITICAL,COR-HWH-BWN,AST-HWH-BWN-TRD-022,BOTH,90,186,309,1,1,34,1,3,100.0
REQ-188,Signalling & Telecom,CRITICAL,COR-NDLS-GZB,AST-DLS-GZB-SNT-009,UP,240,201,487,1,0,41,1,3,100.0
REQ-189,Engineering,LOW,COR-HWH-BWN,AST-HWH-BWN-ENG-021,BOTH,120,182,399,1,0,0,1,5,48.03
